1.000000000000000e-01	2.195085750337777e-02
1.000000000000000e-02	2.346951865241031e-03
1.000000000000000e-03	2.361971281081843e-04
1.000000000000000e-04	2.363471685495888e-05
1.000000000000000e-05	2.363627478851882e-06
1.000000000000000e-06	2.364797355713932e-07
1.000000000000000e-07	2.225080653062150e-08
1.000000000000000e-08	2.923702058232891e-09
1.000000000000000e-09	7.075778674092703e-08
1.000000000000000e-10	2.549615090163826e-07
1.000000000000000e-11	9.730633057092319e-07
1.000000000000000e-12	1.034090459390846e-04
1.000000000000000e-13	1.001813287240250e-03
1.000000000000000e-14	1.926059615438303e-02
1.000000000000000e-15	7.898138901712382e-02
